Question,Real Answer,Pred Answer
with what movie did Mary Philips' husband win his only oscar?,The African Queen,The African Queen
The all time top goal scorer in premier league in one season is a member of what team?,Egypt national football team,Manchester City
Where is the province of Gonbad-e Qabus County located?,in the north-east of the country south of the Caspian Sea,"Gonbad-e Qabus County is located in Golestan Province, Iran."
Who wrote the song turn me on that is performed by performer of Feelin' the Same Way?,John D. Loudermilk,John D. Loudermilk
What institute did the actor playing the voice of John Smith in Pocahontas attend?,National Institute of Dramatic Art,National Institute of Dramatic Art (NIDA)
Who led the muslim forces to retake the proposed embassy destination?,Abu Ubaidah,Abu Ubayda
Which is the body of water near George Mills' place of birth?,River Thames,River Ravensbourne
When did the party who gained control of congress in the midterm elections in 1946 take control of the determiner of rules of the US House and US Senate?,January 2015,"January 3, 2015"
Who does the Nothing Suits Me Like a Suit artist play in Batman Under the Red Hood?,Nightwing / Dick Grayson,Jared Harris does not play a role in Batman: Under the Red Hood.
When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,1989,1989
What is the seat of the county sharing a border with the county in which Miller Electric is headquartered?,Green Bay,Pécs
Who is the brother of the Nothin' My Love Can't Fix performer?,Matthew Lawrence,Joey Lawrence
Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,Matthew Lawrence
When was the last time the team that Arthur James was a member of beat the 1894-95 FA cup winner?,1 December 2010,1988
Who started the foundation that developed the Free Software Directory?,Richard Stallman,Free Software Foundation (FSF)
What pantheon is the God of the underworld in ancient Egypt a part of?,ancient Egyptian religion,ancient Egyptian religion
Where was the president born on the fourth of July born?,Plymouth Notch,"Answer: East Hampton, New York"
Who play's Marty's girlfriend in back to the future?,Claudia Wells,Claudia Wells
What is the record label for the band which performed Pythons?,Kanine Records,Sire Records
Who is the employer of the person Mach's principle was named after?,Charles University,The employer of the person Mach's principle was named after is the University of Vienna.
What is the life expectancy of the type of retriever named after the body of water the Patuxent River turns into?,average lifespan at 9.4 years,9.4 years
Who is the president of the newly declared independent country that is part of the Commission of Truth and Friendship with the country where Sambas is located?,Francisco Guterres,José Ramos-Horta
What is the capital of the country it is about?,Aden,Georgetown
The league playing in the Thursday night football game is a type of what?,sports league,professional sports league
A participant of the Battle of Brechin is an instance of?,Scottish clan,Clan Gordon
What is the symbol of the Saints from the city that is the location of Blanton's manufacturer's headquarters called?,fleur - de-lis,fleur-de-lis
What mythology is the city where Eutychides was born in a part of?,Greek mythology,Greek mythology
What is the oldest college in the state that contains Borough House Plantation?,College of Charles Towne,The College of Charleston
"What county shares a border with the other county, that contains the city, that is the birthplace of the performer of Never Gonna Fall in Love Again?",Cabarrus County,Answer: Cuyahoga County
What city was the author of What We Talk About When We Talk About love born in?,Clatskanie,"Clatskanie, Oregon"
